question_type,question_number,question_text,answer,hint_1,hint_2,hint_3,hint_4,points,bonus_points,bonus_hint_points
recitation,1,Recite Hebrews 11:1,"Now faith is the substance of things hoped for, the evidence of things not seen.",,,,,10,,
recitation,2,Recite Proverbs 3:5,"Trust in the Lord with all your heart, and lean not on your own understanding;",,,,,10,,
recitation,3,Recite Proverbs 3:6,"In all your ways acknowledge Him, and He shall direct your paths.",,,,,10,,
recitation,4,Recite 2 Corinthians 5:7,"For we walk by faith, not by sight.",,,,,10,,
recitation,5,Recite Psalm 56:3,"Whenever I am afraid, I will trust in You.",,,,,10,,
recitation,6,Recite Isaiah 26:3,"You will keep him in perfect peace, whose mind is stayed on You, because he trusts in You.",,,,,10,,
recitation,7,Recite Psalm 37:5,"Commit your way to the Lord, trust also in Him, and He shall bring it to pass.",,,,,10,,
recitation,8,Recite Philippians 4:13,"I can do all things through Christ who strengthens me.",,,,,10,,
recitation,9,Recite Mark 9:23,"Jesus said to him, 'If you can believe, all things are possible to him who believes.'",,,,,10,,
recitation,10,Recite Romans 10:17,"So then faith comes by hearing, and hearing by the word of God.",,,,,10,,
recitation,11,Recite Psalm 1:3,"He shall be like a tree planted by the rivers of water, that brings forth its fruit in its season, whose leaf also shall not wither; and whatever he does shall prosper.",,,,,10,,
recitation,12,Recite 1 Corinthians 13:4,"Love suffers long and is kind; love does not envy; love does not parade itself, is not puffed up;",,,,,10,,
recitation,13,Recite 1 Corinthians 13:13,"And now abide faith, hope, love, these three; but the greatest of these is love.",,,,,10,,
recitation,14,Recite 1 John 4:8,"He who does not love does not know God, for God is love.",,,,,10,,
recitation,15,Recite Romans 12:9,"Let love be without hypocrisy. Abhor what is evil. Cling to what is good.",,,,,10,,
recitation,16,Recite John 15:12,"This is My commandment, that you love one another as I have loved you.",,,,,10,,
recitation,17,Recite Ephesians 4:2,"With all lowliness and gentleness, with longsuffering, bearing with one another in love,",,,,,10,,
recitation,18,Recite Romans 8:32,"He who did not spare His own Son, but delivered Him up for us all, how shall He not with Him also freely give us all things?",,,,,10,,
recitation,19,Recite Romans 13:10,"Love does no harm to a neighbor; therefore love is the fulfillment of the law.",,,,,10,,
recitation,20,Recite Matthew 22:39,"And the second is like it: 'You shall love your neighbor as yourself.'",,,,,10,,
recitation,21,Recite Joshua 1:9,"Have I not commanded you? Be strong and of good courage; do not be afraid, nor be dismayed, for the Lord your God is with you wherever you go.",,,,,10,,
recitation,22,Recite Isaiah 41:10,"Fear not, for I am with you; be not dismayed, for I am your God. I will strengthen you, yes, I will help you, I will uphold you with My righteous right hand.",,,,,10,,
recitation,23,Recite Psalm 46:1,"God is our refuge and strength, a very present help in trouble.",,,,,10,,
recitation,24,Recite Nehemiah 8:10,"Do not sorrow, for the joy of the Lord is your strength.",,,,,10,,
recitation,25,Recite Deuteronomy 31:6,"Be strong and of good courage, do not fear nor be afraid of them; for the Lord your God, He is the One who goes with you. He will not leave you nor forsake you.",,,,,10,,
recitation,26,Recite Philippians 4:6,"Be anxious for nothing, but in everything by prayer and supplication, with thanksgiving, let your requests be made known to God;",,,,,10,,
recitation,27,Recite Psalm 27:1,"The Lord is my light and my salvation; whom shall I fear? The Lord is the strength of my life; of whom shall I be afraid?",,,,,10,,
recitation,28,Recite 2 Timothy 1:7,"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",,,,,10,,
recitation,29,Recite Isaiah 40:31,"But those who wait on the Lord shall renew their strength; they shall mount up with wings like eagles, they shall run and not be weary, they shall walk and not faint.",,,,,10,,
recitation,30,Recite Psalm 55:22,"Cast your burden on the Lord, and He shall sustain you; He shall never permit the righteous to be moved.",,,,,10,,
recitation,31,Recite Jeremiah 29:11,"For I know the thoughts that I think toward you, says the Lord, thoughts of peace and not of evil, to give you a future and a hope.",,,,,10,,
recitation,32,Recite Romans 8:28,"And we know that all things work together for good to those who love God, to those who are the called according to His purpose.",,,,,10,,
recitation,33,Recite Lamentations 3:22,"Through the Lord's mercies we are not consumed, because His compassions fail not.",,,,,10,,
recitation,34,Recite Psalm 30:5,"For His anger is but for a moment, His favor is for life; weeping may endure for a night, but joy comes in the morning.",,,,,10,,
recitation,35,Recite Romans 15:13,"Now may the God of hope fill you with all joy and peace in believing, that you may abound in hope by the power of the Holy Spirit.",,,,,10,,
recitation,36,Recite Colossians 3:23,"And whatever you do, do it heartily, as to the Lord and not to men,",,,,,10,,
recitation,37,Recite Revelation 21:4,"And God will wipe away every tear from their eyes; there shall be no more death, nor sorrow, nor crying. There shall be no more pain, for the former things have passed away.",,,,,10,,
recitation,38,Recite Psalm 121:1–2,"I will lift up my eyes to the hills—from whence comes my help? My help comes from the Lord, who made heaven and earth.",,,,,10,,
recitation,39,Recite Isaiah 43:19,"Behold, I will do a new thing, now it shall spring forth; shall you not know it? I will even make a road in the wilderness and rivers in the desert.",,,,,10,,
